NAME,STATE,COUNTY,CITY,MAX_VOLT,MIN_VOLT,LINES,LATITUDE,LONGITUDE,LON,LAT
TAP156161,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.74212262,-86.59087143,-86.59087143,34.74212262
UNKNOWN156477,MI,KENT,BYRON TWP,-999999,-999999,0,42.81130843,-85.66688957,-85.66688957000001,42.81130842999999
TAP156162,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.761542,-86.58577,-86.58577,34.761542
TAP156163,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.76194448,-86.57905161,-86.57905161,34.76194448
TAP156164,AL,MADISON,HUNTSVILLE,-999999,-999999,4,34.77116,-86.586187,-86.586187,34.771159999999995
TAP156165,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.79294219,-86.57772144,-86.57772144,34.79294219
TAP156166,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.799249,-86.575256,-86.575256,34.799249
UNKNOWN156482,IN,WHITLEY,COLUMBIA CITY,-999999,-999999,0,41.17282198,-85.34341875,-85.34341875,41.172821979999995
TAP156167,AL,MADISON,MERIDIANVILLE,-999999,-999999,3,34.879751,-86.568249,-86.568249,34.87975099999999
UNKNOWN156483,IN,WELLS,MARKLE,-999999,-999999,0,40.83046664,-85.31930624,-85.31930624,40.83046663999999
TAP156168,AL,MADISON,MERIDIANVILLE,-999999,-999999,3,34.82928132,-86.57158759,-86.57158759,34.82928132
TAP156169,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.822794,-86.642428,-86.642428,34.822793999999995
UNKNOWN156485,IA,CEDAR,CLARENCE,-999999,-999999,0,41.87440164,-91.06371171,-91.06371171,41.874401639999995
TAP156170,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.73872974,-86.60305001,-86.60305001,34.73872973999998
UNKNOWN156486,AL,LAUDERDALE,FLORENCE,161,161,2,34.81571948,-87.65771423,-87.65771423,34.81571947999999
TAP156171,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.77864896,-86.61646177,-86.61646176999999,34.778648960000005
